"Sample ID",""Category","Series 1"
"Sample_02_1236","BAHCC1",2
"Sample_02_1236","BCL2",2
"Sample_02_1236","GADD45GIP1",2
"Sample_02_1236","DAND5",2
"Sample_02_1236","NFIX",2
"Sample_02_1236","STK17B",2
"Sample_02_1236","HECW2",2
"Sample_02_1236","LOC101927482",2
"Sample_02_1236","LINC01494",2
"Sample_02_1236","WNT10A",2
"Sample_02_1236","WNT6",2
"Sample_02_1236","CDK5R2",2
"Sample_02_1236","FEV",2
"Sample_02_1236","CRYBA2",2
"Sample_02_1236","MIR8485",2
"Sample_02_1236","CFAP61",2
"Sample_02_1236","RALGAPA2",2
"Sample_02_1236","CBFA2T2",2
"Sample_02_1236","B3GALT5",2
"Sample_02_1236","B3GALT5-AS1",2
"Sample_02_1236","DSCAM",2
"Sample_02_1236","FLJ46066",2
"Sample_02_1236","SATB1",2
"Sample_02_1236","SATB1-AS1",2
"Sample_02_1236","SEL1L3",2
"Sample_02_1236","ATOH1",2
"Sample_02_1236","SEMA6A",2
"Sample_02_1158","",5
"Sample_02_1158","PPM1E",4
"Sample_02_1158","NCOA3",4
"Sample_02_1158","TRIM37",3
"Sample_02_1158","SKA2",3
"Sample_02_1158","RPS6KB1",3
"Sample_02_1158","TUBD1",3
"Sample_02_1158","RNFT1",3
"Sample_02_1158","BCAS1",3
"Sample_02_1158","MIR4756",3
"Sample_02_1158","DOK5",3
"Sample_02_1158","LOC100507412",3
"Sample_02_1158","GRHL2",3
"Sample_02_1158","PLEKHF2",3
"Sample_02_1158","AP4B1",2
"Sample_02_1158","MYOF",2
"Sample_02_1158","CEP55",2
"Sample_02_1158","MED13L",2
"Sample_02_1158","UBL3",2
"Sample_02_1158","LINC00297",2
"Sample_02_1158","SPPL2A",2
"Sample_02_1158","TRPM7",2
"Sample_02_1158","AP4E1",2
"Sample_02_1158","ZFHX3",2
"Sample_02_1158","TEX14",2
"Sample_02_1158","RAD51C",2
"Sample_02_1158","PRR11",2
"Sample_02_1158","VMP1",2
"Sample_02_1158","PTRH2",2
"Sample_02_1158","MIR21",2
"Sample_02_1158","LOC101927755",2
"Sample_02_1158","TBC1D3P1-DHX40P1",2
"Sample_02_1158","APPBP2",2
"Sample_02_1158","LOC388406",2
"Sample_02_1158","PPM1D",2
"Sample_02_1158","BCAS3",2
"Sample_02_1158","TBX2-AS1",2
"Sample_02_1158","TBX2",2
"Sample_02_1158","INTS2",2
"Sample_02_1158","C17ORF82",2
"Sample_02_1158","GREB1",2
"Sample_02_1158","MIR4429",2
"Sample_02_1158","ZMYND8",2
"Sample_02_1158","LOC100131496",2
"Sample_02_1158","PREX1",2
"Sample_02_1158","PARD6B",2
"Sample_02_1158","BCAS4",2
"Sample_02_1158","CYP24A1",2
"Sample_02_1158","PFDN4",2
"Sample_02_1158","TFAP2C",2
"Sample_02_1158","BMP7-AS1",2
"Sample_02_1158","RNA45S5",2
"Sample_02_1158","TM4SF18",2
"Sample_02_1158","SPTSSB",2
"Sample_02_1158","LINC00994",2
"Sample_02_1158","PRICKLE2-AS1",2
"Sample_02_1158","PSMD6",2
"Sample_02_1158","PRICKLE2-AS2",2
"Sample_02_1158","ADAMTS9",2
"Sample_02_1158","FAM102B",1
"Sample_02_1158","HIPK1",1
"Sample_02_1158","HIPK1-AS1",1
"Sample_02_1158","BCL2L15",1
"Sample_02_1158","DCLRE1B",1
"Sample_02_1158","OLFML3",1
"Sample_02_1158","TRIM33",1
"Sample_02_1158","BCAS2",1
"Sample_02_1158","LOC645166",1
"Sample_02_1158","ANKRD35",1
"Sample_02_1158","ITGA10",1
"Sample_02_1158","NUDT17",1
"Sample_02_1158","RBM8A",1
"Sample_02_1158","PEX11B",1
"Sample_02_1158","GNRHR2",1
"Sample_02_1158","PIAS3",1
"Sample_02_1158","MIR6736",1
"Sample_02_1158","CH17-408M7.1",1
"Sample_02_1158","NUDT4P1",1
"Sample_02_1158","NBPF14",1
"Sample_02_1158","PPIAL4C",1
"Sample_02_1158","LINC00869",1
"Sample_02_1158","RPRD2",1
"Sample_02_1158","PRPF3",1
"Sample_02_1158","LOC100131107",1
"Sample_02_1158","TCHHL1",1
"Sample_02_1158","NBPF18P",1
"Sample_02_1158","S100A11",1
"Sample_02_1158","EFNA1",1
"Sample_02_1158","KRTCAP2",1
"Sample_02_1158","TRIM46",1
"Sample_02_1158","SLC50A1",1
"Sample_02_1158","EFNA4",1
"Sample_02_1158","EFNA3",1
"Sample_02_1158","DPM3",1
"Sample_02_1158","LOC100505666",1
"Sample_02_1158","F5",1
"Sample_02_1158","CCDC181",1
"Sample_02_1158","SLC19A2",1
"Sample_02_1158","IER5",1
"Sample_02_1158","LOC101928973",1

"Sample_00_0003","",4
"Sample_00_0003","C12ORF80",3
"Sample_00_0003","KRT7",3
"Sample_00_0003","KRT8",3
"Sample_00_0003","KRT18",3
"Sample_00_0003","CMIP",3
"Sample_00_0003","LOC79999",3
"Sample_00_0003","ABCC3",3
"Sample_00_0003","GLI2",3
"Sample_00_0003","FOXP1",3
"Sample_00_0003","NRG1",3
"Sample_00_0003","NRG1-IT3",3
"Sample_00_0003","SHC1",2
"Sample_00_0003","CKS1B",2
"Sample_00_0003","PBXIP1",2
"Sample_00_0003","ZBTB7B",2
"Sample_00_0003","PYGO2",2
"Sample_00_0003","LENEP",2
"Sample_00_0003","MIR4258",2
"Sample_00_0003","FLAD1",2
"Sample_00_0003","ITGB1",2
"Sample_00_0003","AKR1C1",2
"Sample_00_0003","AKR1C2",2
"Sample_00_0003","AKR1C3",2
"Sample_00_0003","DDIT4",2
"Sample_00_0003","ASCC1",2
"Sample_00_0003","ANAPC16",2
"Sample_00_0003","NEAT1",2
"Sample_00_0003","SLC25A45",2
"Sample_00_0003","FRMD8",2
"Sample_00_0003","MIR612",2
"Sample_00_0003","LTBP3",2
"Sample_00_0003","SSSCA1",2
"Sample_00_0003","CDC42EP2",2
"Sample_00_0003","SCYL1",2
"Sample_00_0003","POLD4",2
"Sample_00_0003","LOC100130987",2
"Sample_00_0003","RAD9A",2
"Sample_00_0003","CLCF1",2
"Sample_00_0003","PPP1CA",2
"Sample_00_0003","TBC1D10C",2
"Sample_00_0003","PCED1B",2
"Sample_00_0003","PCED1B-AS1",2
