Sample ID,0-1kb,0-1kb,1-3kb,1-3kb,3-5kb,3-5kb,5-10kb,5-10kb,10-100kb,10-100kb,>100kb,>100kb
Sample_04_0003,-32.30,32.30,-1.69,4.49,-1.69,1.12,-2.25,1.69,-9.55,10.67,-0.56,1.69
Sample_02_1236,-30,31.47,-0.84,1.05,-0.42,1.47,-1.89,1.26,-10.74,10.53,-4,6.32
Sample_02_1158,-28.11,30.60,-1.49,1.99,-2.49,1,-2.49,1.49,-8.96,14.93,-2.49,3.98
Sample_00_0001,-30,31.47,-0.84,1.05,-0.42,1.47,-1.89,1.26,-10.74,10.53,-4,6.32
Sample_00_0003,-28.11,30.60,-1.49,1.99,-2.49,1,-2.49,1.49,-8.96,14.93,-2.49,3.98
